date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:09	4993/4993	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:09%20GMT	https://noticiasrecentesss.online/robots.txt		(from )
20:33:10	2524/2524	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2023:33:09%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/index.html	(from )
20:33:10	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:10%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/motorolabr-favicon.ico	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/motorolabr-favicon.ico	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:11	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:11%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/bootstrap.bundle.min.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/bootstrap.bundle.min.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:12	19408/19408	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Aug%202024%2008:35:40%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/latest.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/latest.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:13	125667/125667	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2007:07:14%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:14	9644/9644	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Jul%202024%2009:11:50%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/css/style.css	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/css/style.css	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:15	298625/298625	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Jul%202024%2004:10:56%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/css/bootstrap.min.css	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/css/bootstrap.min.css	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:16	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:16%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/pixel.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/pixel.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:18	2210096/2210096	---M--	200	added ('OK')	audio/mpeg	date:Tue,%2016%20Jul%202024%2007:05:44%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/som_divertidamente.mp3	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/som_divertidamente.mp3	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
